948,148
590,32
611,372
835,665
724,851
188,482
781,111
678,13
620,771
281,719
147,678
938,510
103,563
4,125
126,929
161,418
416,366
459,47
219,400
804,830
861,992
159,874
460,777
909,244
749,87
430,124
214,139
112,835
209,568
630,749
841,589
778,567
544,851
327,103
995,415
880,153
368,920
864,419
208,291
575,454
557,489
423,703
910,916
746,826
154,571
601,458
333,315
513,260
117,759
77,644
238,306
460,352
337,294
367,653
910,873
499,785
765,210
461,957
198,90
258,966
535,417
939,319
751,538
758,675
358,39
271,786
792,761
740,232
595,343
194,296
161,747
234,39
138,925
738,864
605,662
633,935
512,798
933,447
15,975
574,550
919,849
18,160
88,657
71,74
127,821
867,979
438,941
809,573
47,786
356,249
23,248
873,987
591,317
382,188
476,338
865,625
737,418
41,445
236,630
369,197
561,752
18,235
645,811
490,823
855,491
348,679
43,422
976,749
223,589
868,881
178,790
318,399
182,864
156,690
857,353
914,528
785,748
453,859
84,729
820,286
128,335
463,102
914,398
720,985
734,270
964,739
566,142
733,766
319,914
808,141
736,736
612,574
805,568
810,729
706,233
28,746
127,170
282,734
332,651
771,888
655,334
129,762
597,498
235,859
661,707
502,445
237,280
669,512
426,417
213,617
437,581
985,24
446,704
58,502
55,502
678,579
457,825
266,507
925,485
605,592
173,922
63,642
155,625
238,47
630,112
570,946
299,320
307,251
621,739
350,650
154,394
410,870
589,972
167,814
614,926
404,930
675,37
744,141
991,854
64,859
282,835
352,659
366,409
672,590
550,937
458,447
538,275
465,230
704,141
260,350
716,318
625,41
760,4
508,977
11,905
823,988
929,818
701,784
945,704
250,874
964,293
900,32
755,539
26,466
926,673
272,306
22,647
904,943
635,212
314,335
635,915
903,662
924,200
418,533
266,643
81,715
436,105
119,92
639,691
815,366
188,19
916,808
630,228
106,235
788,357
471,832
837,328
389,633
903,43
852,198
918,330
136,552
229,899
47,875
500,586
571,252
979,493
568,461
743,403
117,954
382,589
578,730
889,462
150,815
842,604
622,493
901,810
257,221
393,412
198,284
296,969
224,163
995,485
382,831
146,234
228,532
944,430
588,828
785,897
821,858
545,209
808,588
431,815
832,43
935,377
793,489
910,985
340,122
420,510
508,275
134,503
717,994
443,258
894,293
470,736
769,763
436,853
955,870
807,205
899,477
113,239
717,829
644,495
175,323
976,792
534,805
859,367
852,796
522,963
143,246
435,720
812,909
49,504
799,134
213,950
325,689
485,128
776,635
997,619
370,735
408,722
990,90
804,562
162,269
267,461
124,671
401,89
179,82
950,333
420,707
293,223
131,775
498,349
416,808
100,528
180,723
614,183
123,655
744,352
468,293
722,469
557,124
74,894
312,960
624,959
765,13
639,802
677,987
29,935
134,862
541,335
833,47
891,370
652,523
906,962
691,622
603,406
44,583
226,418
127,948
485,474
278,206
641,623
792,193
876,897
341,837
718,922
941,117
414,482
910,766
6,611
720,952
971,461
452,187
44,298
530,770
544,752
375,827
204,187
60,317
239,338
284,525
718,185
272,161
66,988
930,190
143,136
73,408
379,680
257,25
646,635
102,254
608,18
343,951
337,866
854,5
896,11
451,271
198,238
750,760
880,271
700,15
406,120
551,206
636,315
261,201
267,217
132,410
4,121
27,714
676,758
274,109
60,516
34,59
548,869
439,68
46,712
940,261
655,165
12,537
322,676
248,663
864,73
653,55
94,590
164,505
218,565
306,447
308,994
508,139
652,903
849,965
236,808
888,101
332,775
119,209
838,613
372,376
171,741
742,142
157,514
466,106
587,792
791,734
655,63
320,950
234,162
985,797
117,492
451,669
676,756
963,857
944,194
195,702
90,304
919,817
875,604
790,136
853,95
246,573
382,307
32,733
192,47
304,303
167,528
933,177
81,603
40,227
717,937
853,848
66,164
206,607
265,447
358,747
791,401
990,778
666,852
651,206
190,764
547,102
406,618
822,907
945,506
890,746
341,395
285,533
894,62
713,250
548,903
796,100
589,969
271,734
761,8
178,28
413,253
585,394
245,344
951,644
189,841
758,690
728,932
716,985
840,772
139,830
730,4
278,740
212,541
689,475
814,611
716,817
21,315
541,349
257,544
986,808
940,137
908,379
15,196
38,667
41,189
813,528
299,367
131,889
728,552
842,113
811,809
516,38
755,392
176,492
761,226
750,451
345,75
693,289
693,335
475,545
668,535
980,251
886,969
686,683
94,775
376,100
853,752
318,180
216,96
442,979
34,342
641,907
648,605
567,219
549,85
94,269
510,591
586,482
628,294
100,514
621,918
239,859
868,763
209,999
679,138
454,112
573,473
867,232
391,655
73,32
929,872
563,750
324,725
186,770
719,251
270,934
647,486
113,517
299,591
811,260
80,605
324,361
949,359
288,162
188,899
248,30
808,221
646,752
196,842
6,129
116,23
748,585
381,399
597,746
881,573
527,57
395,551
713,766
749,438
43,565
653,209
64,870
206,327
678,256
311,65
552,622
767,192
512,806
811,828
683,153
815,380
133,342
867,908
915,100
759,261
365,436
541,400
679,638
313,218
517,923
870,559
704,518
270,449
774,600
338,711
962,193
511,924
543,358
394,506
176,192
181,776
553,452
790,202
783,999
123,410
674,974
907,824
584,273
767,778
133,565
888,792
891,277
160,638
462,975
317,407
424,628
415,352
141,973
916,889
945,846
147,694
414,149
903,731
389,694
72,447
490,881
703,722
622,578
642,732
349,908
180,150
622,131
32,430
306,173
292,552
422,363
348,963
20,119
242,536
351,640
152,587
387,212
916,539
322,151
27,537
538,277
205,526
412,826
771,563
377,655
360,272
291,618
462,803
788,584
439,528
129,761
321,102
41,728
93,933
712,817
482,328
957,978
48,186
33,872
125,207
143,386
107,59
183,332
766,627
41,791
939,288
624,973
780,706
3,844
506,60
210,210
755,497
860,478
565,649
184,450
752,488
349,56
571,637
186,674
295,276
72,565
140,645
258,568
458,777
577,819
767,490
97,67
267,998
593,317
514,327
942,232
752,235
291,995
873,542
543,144
317,658
819,545
849,792
401,327
184,612
532,791
963,569
520,245
900,510
374,872
808,426
268,752
403,172
185,447
233,330
705,506
494,15
45,474
174,355
9,768
381,691
468,953
702,659
535,116
926,18
541,30
732,465
794,385
676,776
45,904
49,63
710,576
279,872
